Tipo de Incidencia,Clave de incidencia,ID de la incidencia,Resumen,Parent summary,Prioridad,Estado,Sprint de ejecución,Tipo de prueba,Atributo,Nivel de prueba,Tag0,Tag1,Tag2,Eatpa de la prueba,Ambiente,Reportado,Fecha Reporte,Version de correccion 1,Desarrollador,Sprint última regresión,¿En qué versión fue corregido?,Estrategia de ejecución
Finding,MOB-589,1,Logs are generated with NullPointerException errors.,MOB-589,High,Resolved,Sprint 2,Integration,Functional,Unit,Data,Datalake,Mainframe,Construction,Testing,Laura Ortega,1/11/2025,v1.0.1,Laura Ortega,Sprint 12,v1.0.2,Manual
Finding,POS-101,2,Exported data does not match what is displayed on screen.,POS-101,Low,Closed,Sprint 10,Functional,Security,integration,Software AI,CRM,Mainframe,Requirements,Development,Laura Ortega,12/30/2024,v1.0.1,Raúl Espinosa,,v1.0.2,Manual
Finding,MOB-589,3,The send button remains inactive even with complete fields.,MOB-589,Low,Closed,Sprint 10,Integration,Data,System,Software AI,DWH,On-Premise- Hybrid,Operation,Testing,Paula Navarro,3/27/2025,v1.0.1,Mariana Cárdenas,Sprint 14,v1.0.2,Manual
Finding,KIOS-411,4,The autocomplete function does not suggest expected values.,KIOS-411,Low,Resolved,Sprint 18,Exploratory,Usability,System,Software Traditional,ERP,Cloud,Construction,Production,Antonella Duque,3/27/2024,v1.0.1,Valentina Castillo,,v1.0.2,Manual
Finding,KIOS-411,5,Module loading takes longer than expected.,KIOS-411,Most High,Closed,Sprint 6,Functional,Functional,integration,Software Traditional,DWH,Cloud,Requirements,Testing,Pedro Cruz,3/26/2024,v1.0.1,Gabriela Paredes,,v1.0.2,Automated
Suggestion,MOB-589,6,Incorrect permissions assigned to standard users.,MOB-589,High,Closed,Sprint 12,Functional,Security,UAT,Software Traditional,DWH,Cloud,Ideation,Testing,Camila Vargas,7/9/2024,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Finding,POS-101,7,The send button remains inactive even with complete fields.,POS-101,Medium,Reopened,Sprint 13,Functional,Security,UAT,Software AI,DWH,Cloud,Requirements,Production,Juan Pérez,1/17/2024,v1.0.1,Sebastián Cortés,,v1.0.2,Manual
Finding,CORE-568,8,Data does not persist after updating the page.,CORE-568,High,Resolved,Sprint 2,Acceptance,Functional,integration,Software AI,Datalake,Mainframe,Requirements,Testing,Valentina Castillo,7/21/2025,v1.0.1,Valentina Castillo,,v1.0.2,Manual
Finding,API-073,9,Logs are generated with NullPointerException errors.,API-073,High,Resolved,Sprint 0,Functional,Security,System,Data,Datalake,Cloud,Requirements,Sandbox,Esteban Méndez,10/18/2025,v1.0.1,Esteban Méndez,,v1.0.2,Manual
Suggestion,POS-101,10,Validation errors are not shown in real time.,POS-101,High,Rejected,Sprint 11,Load,Functional,Unit,Data,Datalake,On-Premise- Hybrid,Operation,Development,Paula Navarro,3/28/2025,v1.0.1,Mateo Linares,,v1.0.2,Manual
Finding,KIOS-411,11,Data does not persist after updating the page.,KIOS-411,Low,In progress,Sprint 8,Functional,Functional,Unit,Data,DWH,Cloud,Requirements,Pre-Production,Esteban Méndez,2/6/2024,v1.0.1,Sebastián Cortés,Sprint 11,v1.0.2,Automated
Finding,BD-921,12,Data does not persist after updating the page.,BD-921,Medium,Resolved,Sprint 10,Functional,Functional,System,SAP,DWH,Mainframe,Construction,ShadowDR),Jorge Ramírez,3/25/2024,v1.0.1,Isabela Aguirre,,v1.0.2,Automated
Finding,KIOS-411,13,Browser compatibility issue on mobile devices.,KIOS-411,Low,Resolved,Sprint 10,Exploratory,Functional,UAT,Data,Datalake,Cloud,Operation,Sandbox,Esteban Méndez,7/2/2024,v1.0.1,Mariana Cárdenas,,v1.0.2,Manual
Finding,POS-101,14,Module loading takes longer than expected.,POS-101,Low,Reopened,Sprint 16,Functional,Functional,System,Software AI,Datalake,Mainframe,Operation,Sandbox,Daniela Ríos,6/12/2025,v1.0.1,Lucía Fernández,Sprint 17,v1.0.2,Automated
Suggestion,WEB-342,15,Inconsistencies in date format in reports.,WEB-342,Medium,Closed,Sprint 1,Functional,Functional,UAT,Software Traditional,Datalake,Mainframe,Operation,Testing,Pedro Cruz,6/25/2024,v1.0.1,Sebastián Cortés,,v1.0.2,Automated
Finding,POS-101,16,The system does not respond when clicking certain buttons.,POS-101,Low,Reopened,Sprint 16,Functional,Performance,System,SAP,ERP,On-Premise- Hybrid,Construction,Pre-Production,Sebastián Cortés,1/1/2025,v1.0.1,Pedro Cruz,Sprint 17,v1.0.2,Manual
Finding,BD-921,17,Logs are generated with NullPointerException errors.,BD-921,Medium,Pending,Sprint 8,Load,Security,System,SAP,CORE Banking,Mainframe,Ideation,Sandbox,Ana López,5/13/2025,v1.0.1,Miguel Herrera,Sprint 9,v1.0.2,Manual
Finding,KIOS-411,18,Logs are generated with NullPointerException errors.,KIOS-411,Low,Resolved,Sprint 3,Smoke,Functional,integration,Software Traditional,ERP,On-Premise- Hybrid,Operation,Production,Isabela Aguirre,3/17/2024,v1.0.1,Valentina Castillo,,v1.0.2,Manual
Suggestion,BD-921,19,Module loading takes longer than expected.,BD-921,Low,Pending,Sprint 16,Functional,Performance,System,SAP,Datalake,Cloud,Requirements,Pre-Production,Laura Ortega,9/24/2025,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Finding,CORE-568,20,Navigation failure between main module screens.,CORE-568,Low,Reopened,Sprint 15,Regression,Performance,System,SAP,CRM,On-Premise- Hybrid,Ideation,Integration,Gabriela Paredes,5/7/2025,v1.0.1,Mariana Cárdenas,Sprint 20,v1.0.2,Manual
